Título,Autor,Autor secundário,Edição,Nome da editora,Ano de publicação,Nome da coleção,ISBN,N.º depósito legal,source_image
A Condigção Humana,Hannah Arendt,Roberto Raposo,,Relégio D’Agua Editores,"1958, 2001",,,166158/01,C:\Users\goncalo.lourenco\Downloads\images\IMG_7658.jpg
O conhecimento dos mundos superiores : (a iniciagao),Rudolf Steiner,,,Antroposéfica,2010,,978-85-7122-083-6,,C:\Users\goncalo.lourenco\Downloads\images\IMG_7659.jpg
O Bando das Cavernas: Vem ai o Ogima,Nuno Caravela,,4± impressao,20|20 Editora,2016,,978-989-883 | -56-9,403 946/16,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0704.HEIC
O Bando das Cavernas: FG N.°1,Nuno Caravela,,,,2016,,978-989-8843-37,412 740/16,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0705.HEIC
O Bando das Cavernas: Uma Selfie no Polo Norte,Nuno Caravela,,,20 20 Editora,2017,,978-989-8855-25,419 869/16,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0707.HEIC
O Bando das Cavernas: Os Olimpicos,Nuno Caravela,,1.2 edicao: julho de 2017,20|20 Editora,2017,,978-989-707-476-9,427 906/17,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0708.HEIC
O Bando das Cavernas 23: Ninguém Tem Medo do Lobo May!,Nuno Caravela,,"edigao original Booksmile, novembro de 2018",20/20 Editora,2018,,978-989-707-604-6,446 611/18,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0709.HEIC
As Aventuras de Tom Sawyer,Mark Twain,,setembro de 2019,,2010,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0710.HEIC
Volta ao Mundo €Mm 80 Dias,Julio Verne Tra,,maio de 2019,Bertrand Editora,2010,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0711.HEIC
Scanimation,Rufus Butler Seder,,,Workman Publishing,2007,,978-0-7611-47638-3,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0713.HEIC
CHERUB - The Recruit,Robert Muchamore,,1.4 edic&o,Porto Editora,2004,,978-972-0-04261-3,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0714.HEIC
Historias Antigas com rima Eee,Luisa Barreto,,Centro Lusitano de UWjiifiieaectem,,,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0717.HEIC
Um Fio de Fumo nos Confins do Mar,Alice Vieira,,3.* edicdo,Editorial Caminho,1999,,978-97 2-21-2396-9,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0718.HEIC
Seis Histérias Tradicionais Portuguesas,José Viale Moutinho,,,20|20 Editora,2017,,978-989-707-462-2,426 971/17,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0727.HEIC
O Colar,Sophia de Mello Breyner Andresen,,1.8,,2001,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0729.HEIC
Historias da Terra e do Mar,Sophia de Mello Breyner Andresen,,1.4,Porto Editora,1984,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0730.HEIC
"Ivan, o Tolo",Lev Tolstoi,Benjamin R. Tucker,2021,Porto Editora,,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0731.HEIC
Teatro As Trãs mancadas,Anténio Torrad,,,,2010,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0732.HEIC
Robinson Crusoé,Daniel Defoe,John Lang,2014,,2018,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0733.HEIC
Andar a Pé,Henry David Thoreau,,1.* edicao: Abril de 2021,Alma dos Livros,2021,,,480 489/21,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0734.HEIC
O Fantasma de Canterville,Oscar Wilde,,1.2 edicao: marco de 2014,Porto Editora,,,978-972-0-72695-7,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0735.HEIC
