Título,Autor,Autor secundário,Edição,Nome da editora,Ano de publicação,Nome da coleção,ISBN,N.º depósito legal,source_image
O Bando das Cavernas: Um Tigre no Quarto,,Nuno Caravela,1.2 edígio,"20,20 Editora",2015,,978-989-707-334-2,396 377/15,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0703.HEIC
O Bando das Cavernas: Desafio Ultra Mega Fixe!,,Nuno Caravela,original Booksmile,20|20 Editora,2016,,978-989-8849-75-5,415 938/16,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0706.HEIC
,Rufus Butler Seder,Raquel Jaramillo,,"Workman Publishing, Nova Torque",,,978-989-8260-59-8,308 999/10,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0712.HEIC
 ,, ,, ,, ,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0739.heic
,,,1#,"Complexo Industrial Grafico, S.A.",2001,,,157896/00,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0740.heic
,Alice Vieira,,38.* edic&o,Editorial Caminho,1979,,AJ 8-972-2 bs 08 17,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0745.HEIC
,Mafalda Moutinho,Publicacées Dom Quixote,, uma editora do Grupo LeYa ,2019,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9266 2.heic
Twilight Saga: Moutinho,,,,,,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9267.heic
Os filhos de Odin,,Padraic Colum e Willy Pogany,2004,,1984,,978-0-689-86885-6,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9268.heic
,,,,,,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9270.heic
,,,,Rodale,,,1-59486-781-x 978-1-59486-781-1,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9274 2.heic
,Luis Sepulveda,,1.* edicdo: fevereiro de 2010 Reimpresso em setembro de 2017,Porto Editora,1996,,978-972-0 04099. A COPIA,3$3986/13,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9276 2.heic
A Arte de Contar Histórias,,Nancy Mellon,2ª,Rocco,1992,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9277 2.heic
"A Doenga, 0 Sofrimento e a Morte",,,Deczembro de 2016,"Edicgées tinta-da-china, Lda.",2016,,V3 959 -671-353-9,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9278 2.heic
,Mergaret Wise Brown,Brown,,,Pmodiieht Moon Road $8 yG,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9284.heic
Aprende,,,Lda.,,,,,326 4737/1,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9285.heic
Uameusprimeiros,,,,,2023,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9287.heic
,,,,,,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9288.heic
